Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,6,2369625,2.2,1.1
Albania,66,1896652,35.0,31.0
Algeria,26,11080739,15.0,11.0
Angola,19,5940208,14.0,5.0
Argentina,132,59221612,75.0,57.0
Armenia,23,677032,16.0,7.1
Aruba,150,159250,78.0,72.0
Australia,139,35277187,75.0,64.0
Austria,129,11463818,66.0,63.0
Azerbaijan,95,9518912,51.0,44.0
Bahamas,63,244223,35.0,29.0
Bahrain,168,2760368,72.0,69.0
Bangladesh,37,60871683,25.0,13.0
Barbados,94,268945,51.0,42.0
Belarus,47,4472001,28.0,20.0
Belgium,147,16837338,76.0,74.0
Belize,88,344463,51.0,37.0
Benin,2,252698,1.8,1.6
Bhutan,145,1103506,77.0,68.0
Bolivia,65,7431032,39.0,33.0
Bosnia and Herzegovina,38,1242203,22.0,15.0
Botswana,41,943915,29.0,12.0
Brazil,129,272673196,75.0,56.0
Brunei,137,592613,80.0,56.0
Bulgaria,40,2824345,20.0,21.0
Burkina Faso,1,380344,1.7,1.4
Burundi,0,459,0.1,
Cambodia,166,27356822,83.0,79.0
Cameroon,1,497689,1.6,0.6
Canada,156,58511813,79.0,75.0
Cape Verde,90,494079,53.0,37.0
Central African Republic,8,385557,6.9,6.0
Chad,1,199516,1.0,0.3
Chile,188,35629347,86.0,77.0
Colombia,92,46454693,59.0,41.0
Comoros,48,407792,29.0,19.0
Congo,0,147734,0.1,0.0
Costa Rica,121,6124445,71.0,50.0
Croatia,88,3599586,47.0,44.0
Cuba,225,25510679,87.0,63.0
Curaçao,122,192605,64.0,58.0
Cyprus,101,1212476,50.0,47.0
Czech Republic,114,12196061,58.0,57.0
Denmark,152,8839674,77.0,76.0
Djibouti,9,92097,6.8,2.7
Dominican Rep.,123,13201730,62.0,49.0
Ecuador,124,21492532,68.0,58.0
Egypt,25,25083832,17.0,8.3
El Salvador,132,8516654,67.0,59.0
Equatorial Guinea,32,428106,18.0,14.0
Estonia,108,1427043,60.0,57.0
Eswatini,24,273523,21.0,20.0
Ethiopia,3,4349193,2.9,1.0
Fiji,131,1166051,70.0,61.0
Finland,146,8049723,76.0,69.0
France,147,98700649,76.0,68.0
French Polynesia,109,303630,56.0,53.0
Gabon,10,217606,5.8,4.2
Gambia,11,254945,9.7,9.1
Georgia,52,1920934,27.0,24.0
Germany,134,111685026,69.0,67.0
Ghana,9,2979766,7.1,2.7
Greece,118,12630449,62.0,59.0
Grenada,61,67959,34.0,27.0
Guatemala,51,8469554,32.0,19.0
Guinea,17,2169910,11.0,5.5
Guinea-Bissau,6,127936,6.1,0.5
Guyana,79,615611,48.0,30.0
Haiti,1,110603,0.7,0.3
Honduras,68,6605470,39.0,28.0
Hong Kong,121,9017733,62.0,59.0
Hungary,124,12111107,61.0,59.0
Iceland,158,570788,78.0,77.0
India,76,1042458533,53.0,23.0
Indonesia,69,187720150,43.0,26.0
Iran,98,81360772,62.0,36.0
Iraq,23,8972041,14.0,8.5
Ireland,148,7321145,77.0,76.0
Israel,175,15884224,69.0,63.0
Italy,148,89473584,77.0,71.0
Ivory Coast,12,3046263,8.6,3.3
Jamaica,31,907371,20.0,13.0
Japan,149,187865740,77.0,71.0
Jordan,74,7440887,39.0,35.0
Kazakhstan,85,15655946,44.0,40.0
Kenya,9,5153667,6.9,2.9
Kiribati,56,65279,46.0,9.6
Kosovo,84,1542975,45.0,38.0
Kuwait,56,2375455,63.0,22.0
Kyrgyzstan,27,1715814,15.0,11.0
Laos,61,4402770,45.0,39.0
Latvia,100,1915761,59.0,52.0
Lebanon,48,3293076,26.0,22.0
Lesotho,18,383341,16.0,16.0
Liberia,7,358079,5.3,5.1
Libya,28,1900831,22.0,5.8
Lithuania,121,3382438,65.0,59.0
Luxembourg,132,816558,69.0,64.0
Macau,125,790170,71.0,54.0
Madagascar,2,566265,1.4,0.7
Mainland China,161,2254252000,79.0,76.0
Malawi,6,1193596,5.0,2.9
Malaysia,155,49581855,80.0,76.0
Maldives,141,748858,74.0,67.0
Mali,3,585224,1.6,1.3
Malta,174,873859,85.0,85.0
Mauritania,29,1300831,16.0,13.0
Mauritius,138,1749997,71.0,67.0
Mexico,93,118849796,56.0,44.0
Moldova,57,1508749,31.0,33.0
Mongolia,136,4394377,70.0,66.0
Montenegro,80,497996,41.0,39.0
Morocco,126,46094289,65.0,59.0
Mozambique,16,4781293,9.0,6.7
Myanmar,29,15797703,21.0,8.5
Namibia,23,574217,13.0,10.0
Nepal,53,15048288,30.0,23.0
Netherlands,138,23975215,75.0,68.0
New Caledonia,113,324466,60.0,52.0
New Zealand,138,6761930,75.0,63.0
Nicaragua,20,1306694,14.0,5.5
Niger,3,803146,2.1,1.4
Nigeria,4,8581274,2.8,1.5
North Macedonia,76,1590219,39.0,37.0
Norway,148,7928687,79.0,70.0
Oman,114,5679984,62.0,53.0
Pakistan,48,103514198,32.0,18.0
Panama,128,5434540,70.0,56.0
Papua New Guinea,3,290513,2.1,1.2
Paraguay,73,5165112,42.0,31.0
Peru,105,34115281,58.0,47.0
Philippines,54,58212187,26.0,25.0
Poland,103,38951997,53.0,52.0
Portugal,158,16211690,88.0,86.0
Qatar,170,4826586,83.0,78.0
Republic of the Congo,7,410016,5.4,2.2
Romania,63,12280258,31.0,32.0
Russia,71,102428563,37.0,33.0
Rwanda,45,5627426,29.0,15.0
Saint Lucia,48,87446,27.0,21.0
Saint Vincent and the Grenadines,36,40130,22.0,14.0
Samoa,99,194141,59.0,40.0
São Tomé and Príncipe,48,103720,35.0,13.0
Saudi Arabia,133,45566425,71.0,62.0
Senegal,12,1961144,7.9,5.4
Serbia,101,7007327,45.0,43.0
Sierra Leone,5,396196,4.1,1.4
Singapore,177,10094499,83.0,82.0
Slovakia,88,4799374,46.0,42.0
Slovenia,110,2305274,57.0,54.0
Solomon Islands,23,152832,18.0,4.6
Somalia,4,647129,2.3,1.8
South Africa,37,21514033,25.0,20.0
South Korea,149,77215257,79.0,73.0
South Sudan,1,127200,0.8,0.4
Spain,152,71779466,81.0,79.0
Sri Lanka,131,28581571,70.0,61.0
Sudan,3,1659666,2.7,1.4
Suriname,77,447796,43.0,34.0
Sweden,141,14516253,70.0,67.0
Switzerland,129,11031904,67.0,64.0
Syria,5,963477,4.2,2.4
Taiwan,101,24048734,70.0,31.0
Tajikistan,51,4738865,28.0,23.0
Tanzania,1,885579,1.5,1.5
Thailand,103,72049529,58.0,42.0
Timor-Leste,66,855619,40.0,26.0
Togo,16,1287154,11.0,5.2
Tonga,81,84506,49.0,32.0
Trinidad and Tobago,87,1216085,45.0,43.0
Tunisia,78,9140107,48.0,38.0
Turkey,139,116023796,66.0,58.0
Turkmenistan,128,7580976,74.0,54.0
U.A.E.,215,21014342,99.0,88.0
U.K.,153,102461683,75.0,68.0
Uganda,7,3269568,6.4,0.9
Ukraine,38,17082799,22.0,16.0
United States,126,417795537,67.0,58.0
